Abkhazia,"Abkhaz, Abkhazian"
Swaziland,"Swazi, Swati"
Sweden,Swedish
Switzerland,Swiss
Syrian Arab Republic,Syrian
Tajikistan,Tajikistani
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste,Timorese
Togo,Togolese
Tokelau,Tokelauan
Tonga,Tongan
Trinidad and Tobago,Trinidadian or Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Turks and Caicos Islands,Turks and Caicos Island
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,"Emirati, Emirian, Emiri"
United Kingdom of Great Britain and Northern Ireland,"British, UK"
United States of America,"United States, U.S., American"
Uruguay,Uruguayan
Uzbekistan,"Uzbekistani, Uzbek"
Vanuatu,"Ni-Vanuatu, Vanuatuan"
Vatican City State,Vatican
"Venezuela, Bolivarian Republic of",Venezuelan
Viet Nam,Vietnamese
"Virgin Islands, British",British Virgin Island
"Virgin Islands, United States",U.S. Virgin Island
Wallis and Futuna,"Wallis and Futuna, Wallisian or Futunan"
Western Sahara,"Sahrawi, Sahrawian, Sahraouian"
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
